Id,EAN code,Title,Brand,Magnitude,Unit,Count,w_mag,w_unit,Price,category_tlc,category_mlc,category_llc,Children,Image
40127994,"""40127994""",(Kesar Mango)fresho![1x9]{kg}<3135.62>,fresho!,9000,g,1,9,kg,3135.62,Fruits & Vegetables,Fresh Fruits,Mangoes,"[{'id': '40075207', 'desc': 'Kesar Mango', 'sku_max_quantity': 0, 'pack_desc': '', 'sort_index_pos': 0, 'cart_count': 0, 'is_best_value': True, 'magnitude': '5000', 'w': '5 kg', 'absolute_url': '/pd/40075207/fresho-kesar-mango-5-kg/', 'unit': 'g', 'usp': '', 'availability': {'avail_status': '001', 'display_mrp': True, 'display_sp': True, 'not_for_sale': False, 'button': 'Add', 'show_express': False}, 'pricing': {'discount': {'mrp': '1156.16', 'mrp_per_pack': None, 'd_text': None, 'd_avail': 'false', 'prim_price': {'sp': '1156.16', 'sp_per_pack': None, 'icon': {'base_url': None, 'image': None, 'format': None}, 'desc': '', 'base_price': '231.23', 'base_unit': 'kg'}, 'sec_price': {'sp': None, 'icon': None, 'desc': None, 'background': None}, 'subscription_price': '1156.16', 'camp_detail': {'c': [], 'c_f': 0, 'd_t': '', 'd_v': 0, 'dual_pricing': False, 'm_f': 0, 'narq': 9999999, 'r_c': [], 'v_f': 0}, 'offer_entry_text': '', 'offer_available': 'false'}, 'promo': None, 'subscribe': {'desc': None, 'desc_label': None, 'subs_c': [], 'subs_sp': None}, 'offer': {'arrow_image': None, 'background': {'direction': None, 'gradient': None}, 'background_border': {'direction': None, 'gradient': None}, 'campaign_type': None, 'campaign_type_icon': None, 'campaign_type_slug': '', 'offer_available': 'false', 'offer_ent_txt': '', 'offer_entry_text': '', 'text_color': None}}, 'images': [{'s': 'https://www.bigbasket.com/media/uploads/p/s/40075207_6-fresho-kesar-mango.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40075207_6-fresho-kesar-mango.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40075207_6-fresho-kesar-mango.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40075207-2_4-fresho-kesar-mango.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40075207-2_4-fresho-kesar-mango.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40075207-2_4-fresho-kesar-mango.jpg'}], 'variable_weight': {'msg': 'Please note that the item(s) in this product may vary slightly in size and weight. Hence, the actual weight of the product delivered can have a small variance. You will be billed based on the actual weight during order processing.', 'link': '/variableweight/?source=app'}, 'brand': {'name': 'fresho!', 'slug': 'fresho', 'url': '/pb/fresho/'}, 'category': {'tlc_name': 'Fruits & Vegetables', 'tlc_slug': 'fruits-vegetables', 'mlc_name': 'Fresh Fruits', 'mlc_slug': 'fresh-fruits', 'mlc_id': 1344, 'llc_name': 'Mangoes', 'llc_slug': 'type=pc&slug=mangoes', 'llc_id': 525}, 'additional_attr': {'info': []}, 'combo': None, 'rating_info': {'avg_rating': None, 'rating_count': None, 'review_count': None, 'sku_id': 30000974}, 'visibility': {'path_id': 1829, 'fc_id': 704, 'sa_id': 10654}, 'additional_info': {'ppu': {'url': '', 'label': 'Per unit Price', 'type': 'ppu'}}, 'ctas': {'data': []}, 'ean_code': '40075207', 'parent_info': {'id': 540820, 'parent_product_id': None, 'child_product_id': None, 'order': 1, 'parent_id': 30000974, 'child_id': 40075207, 'is_default': 0, 'type': 1, 'created_by_id': 517, 'updated_by_id': 517, 'created_on': '2023-05-25 13:01:32', 'updated_on': '2023-05-25 13:01:32'}, 'high_affinity': [], 'is_tobacco': False}, {'id': '30000974', 'desc': 'Kesar Mango', 'sku_max_quantity': 0, 'pack_desc': '', 'sort_index_pos': 0, 'cart_count': 0, 'is_best_value': False, 'magnitude': '1000', 'w': '1 kg', 'absolute_url': '/pd/30000974/fresho-kesar-mango-1-kg/', 'unit': 'g', 'usp': 'Good Source of Vitamin A & C', 'availability': {'avail_status': '001', 'display_mrp': True, 'display_sp': True, 'not_for_sale': False, 'button': 'Add', 'show_express': False}, 'pricing': {'discount': {'mrp': '352.05', 'mrp_per_pack': None, 'd_text': '27% OFF', 'd_avail': 'true', 'prim_price': {'sp': '257', 'sp_per_pack': None, 'icon': {'base_url': None, 'image': None, 'format': None}, 'desc': '', 'base_price': '257', 'base_unit': 'kg'}, 'sec_price': {'sp': None, 'icon': None, 'desc': None, 'background': None}, 'subscription_price': '257', 'camp_detail': {'c': [1513707], 'c_f': 95.05, 'd_t': 'percent', 'd_v': 27, 'dual_pricing': False, 'm_f': 0, 'narq': 9999999, 'r_c': [1513707], 'v_f': 0}, 'offer_entry_text': '', 'offer_available': 'false'}, 'promo': None, 'subscribe': {'desc': None, 'desc_label': None, 'subs_c': [], 'subs_sp': None}, 'offer': {'arrow_image': None, 'background': {'direction': None, 'gradient': None}, 'background_border': {'direction': None, 'gradient': None}, 'campaign_type': None, 'campaign_type_icon': None, 'campaign_type_slug': '', 'offer_available': 'false', 'offer_ent_txt': '', 'offer_entry_text': '', 'text_color': None}}, 'images': [{'s': 'https://www.bigbasket.com/media/uploads/p/s/30000974_12-fresho-kesar-mango.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/30000974_12-fresho-kesar-mango.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/30000974_12-fresho-kesar-mango.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/30000974-2_6-fresho-kesar-mango.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/30000974-2_6-fresho-kesar-mango.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/30000974-2_6-fresho-kesar-mango.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/30000974-3_1-fresho-kesar-mango.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/30000974-3_1-fresho-kesar-mango.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/30000974-3_1-fresho-kesar-mango.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/30000974-4_1-fresho-kesar-mango.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/30000974-4_1-fresho-kesar-mango.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/30000974-4_1-fresho-kesar-mango.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/30000974-5_1-fresho-kesar-mango.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/30000974-5_1-fresho-kesar-mango.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/30000974-5_1-fresho-kesar-mango.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/30000974-6_1-fresho-kesar-mango.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/30000974-6_1-fresho-kesar-mango.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/30000974-6_1-fresho-kesar-mango.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/30000974-7_1-fresho-kesar-mango.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/30000974-7_1-fresho-kesar-mango.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/30000974-7_1-fresho-kesar-mango.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/30000974-8_1-fresho-kesar-mango.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/30000974-8_1-fresho-kesar-mango.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/30000974-8_1-fresho-kesar-mango.jpg'}], 'variable_weight': {'msg': 'Please note that the item(s) in this product may vary slightly in size and weight. Hence, the actual weight of the product delivered can have a small variance. You will be billed based on the actual weight during order processing.', 'link': '/variableweight/?source=app'}, 'brand': {'name': 'fresho!', 'slug': 'fresho', 'url': '/pb/fresho/'}, 'category': {'tlc_name': 'Fruits & Vegetables', 'tlc_slug': 'fruits-vegetables', 'mlc_name': 'Fresh Fruits', 'mlc_slug': 'fresh-fruits', 'mlc_id': 1344, 'llc_name': 'Mangoes', 'llc_slug': 'type=pc&slug=mangoes', 'llc_id': 525}, 'additional_attr': {'info': []}, 'combo': None, 'rating_info': {'avg_rating': None, 'rating_count': None, 'review_count': None, 'sku_id': 30000974}, 'visibility': {'path_id': 1829, 'fc_id': 704, 'sa_id': 10654}, 'additional_info': {}, 'ctas': {'data': []}, 'ean_code': '30000974', 'parent_info': {'id': 540819, 'parent_product_id': None, 'child_product_id': None, 'order': 0, 'parent_id': 30000974, 'child_id': 30000974, 'is_default': 1, 'type': 1, 'created_by_id': 517, 'updated_by_id': 517, 'created_on': '2023-05-25 13:01:32', 'updated_on': '2023-05-25 13:01:32'}, 'high_affinity': [], 'is_tobacco': False}]","[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40127994_6-fresho-kesar-mango.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40127994_6-fresho-kesar-mango.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40127994_6-fresho-kesar-mango.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40127994-2_4-fresho-kesar-mango.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40127994-2_4-fresho-kesar-mango.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40127994-2_4-fresho-kesar-mango.jpg'}]"
30001966,"""30001966""",(Totapuri Mango - Raw)fresho![1x1]{kg}<68.49>,fresho!,1000,g,1,1,kg,68.49,Fruits & Vegetables,Fresh Fruits,Mangoes,"[{'id': '40301936', 'desc': 'Mango - Raw, Totapuri', 'sku_max_quantity': 0, 'pack_desc': '', 'sort_index_pos': 0, 'cart_count': 0, 'is_best_value': False, 'magnitude': '500', 'w': '500 g', 'absolute_url': '/pd/40301936/fresho-mango-raw-totapuri-500-g/', 'unit': 'g', 'usp': '', 'availability': {'avail_status': '001', 'display_mrp': True, 'display_sp': True, 'not_for_sale': False, 'button': 'Add', 'show_express': False}, 'pricing': {'discount': {'mrp': '36.99', 'mrp_per_pack': None, 'd_text': '27% OFF', 'd_avail': 'true', 'prim_price': {'sp': '27', 'sp_per_pack': None, 'icon': {'base_url': None, 'image': None, 'format': None}, 'desc': '', 'base_price': '0.05', 'base_unit': 'g'}, 'sec_price': {'sp': None, 'icon': None, 'desc': None, 'background': None}, 'subscription_price': '27', 'camp_detail': {'c': [1406111], 'c_f': 9.99, 'd_t': 'percent', 'd_v': 27.01, 'dual_pricing': False, 'm_f': 0, 'narq': 9999999, 'r_c': [1406111], 'v_f': 0}, 'offer_entry_text': '', 'offer_available': 'false'}, 'promo': None, 'subscribe': {'desc': None, 'desc_label': None, 'subs_c': [], 'subs_sp': None}, 'offer': {'arrow_image': None, 'background': {'direction': None, 'gradient': None}, 'background_border': {'direction': None, 'gradient': None}, 'campaign_type': None, 'campaign_type_icon': None, 'campaign_type_slug': '', 'offer_available': 'false', 'offer_ent_txt': '', 'offer_entry_text': '', 'text_color': None}}, 'images': [{'s': 'https://www.bigbasket.com/media/uploads/p/s/40301936_1-fresho-mango-raw-totapuri.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40301936_1-fresho-mango-raw-totapuri.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40301936_1-fresho-mango-raw-totapuri.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40301936-2_1-fresho-mango-raw-totapuri.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40301936-2_1-fresho-mango-raw-totapuri.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40301936-2_1-fresho-mango-raw-totapuri.jpg'}], 'variable_weight': {'msg': 'Please note that the item(s) in this product may vary slightly in size and weight. Hence, the actual weight of the product delivered can have a small variance. You will be billed based on the actual weight during order processing.', 'link': '/variableweight/?source=app'}, 'brand': {'name': 'fresho!', 'slug': 'fresho', 'url': '/pb/fresho/'}, 'category': {'tlc_name': 'Fruits & Vegetables', 'tlc_slug': 'fruits-vegetables', 'mlc_name': 'Fresh Fruits', 'mlc_slug': 'fresh-fruits', 'mlc_id': 1344, 'llc_name': 'Mangoes', 'llc_slug': 'type=pc&slug=mangoes', 'llc_id': 525}, 'additional_attr': {'info': []}, 'combo': None, 'rating_info': {'avg_rating': None, 'rating_count': None, 'review_count': None, 'sku_id': 30001966}, 'visibility': {'path_id': 1829, 'fc_id': 704, 'sa_id': 10654}, 'additional_info': {'ppu': {'url': '', 'label': 'Per unit Price', 'type': 'ppu'}}, 'ctas': {'data': []}, 'ean_code': '40301936', 'parent_info': {'id': 507842, 'parent_product_id': None, 'child_product_id': None, 'order': 0, 'parent_id': 30001966, 'child_id': 40301936, 'is_default': 0, 'type': 1, 'created_by_id': 517, 'updated_by_id': 517, 'created_on': '2023-04-01 18:34:10', 'updated_on': '2023-04-01 18:34:10'}, 'high_affinity': [], 'is_tobacco': False}]","[{'s': 'https://www.bigbasket.com/media/uploads/p/s/30001966_4-fresho-mango-raw-totapuri.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/30001966_4-fresho-mango-raw-totapuri.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/30001966_4-fresho-mango-raw-totapuri.jpg'}]"
10000304,"""10000304""",(Mallika Mango)fresho![1x1]{kg}<254.79>,fresho!,1000,g,1,1,kg,254.79,Fruits & Vegetables,Fresh Fruits,Mangoes,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/10000304_5-fresho-mallika-mango.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000304_5-fresho-mallika-mango.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000304_5-fresho-mallika-mango.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/10000304-2_2-fresho-mallika-mango.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000304-2_2-fresho-mallika-mango.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000304-2_2-fresho-mallika-mango.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/10000304-3_2-fresho-mallika-mango.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000304-3_2-fresho-mallika-mango.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000304-3_2-fresho-mallika-mango.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/10000304-4_2-fresho-mallika-mango.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000304-4_2-fresho-mallika-mango.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000304-4_2-fresho-mallika-mango.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/10000304-5_1-fresho-mallika-mango.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000304-5_1-fresho-mallika-mango.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000304-5_1-fresho-mallika-mango.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/10000304-6_1-fresho-mallika-mango.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000304-6_1-fresho-mallika-mango.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000304-6_1-fresho-mallika-mango.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/10000304-7_1-fresho-mallika-mango.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000304-7_1-fresho-mallika-mango.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000304-7_1-fresho-mallika-mango.jpg'}]"
30001057,"""30001057""",(Langra Mango)fresho![1x1]{kg}<109.59>,fresho!,1000,g,1,1,kg,109.59,Fruits & Vegetables,Fresh Fruits,Mangoes,"[{'id': '40300587', 'desc': 'Mango Langra', 'sku_max_quantity': 0, 'pack_desc': 'Punnet', 'sort_index_pos': 0, 'cart_count': 0, 'is_best_value': False, 'magnitude': '450', 'w': '450 g', 'absolute_url': '/pd/40300587/fresho-premium-mango-langra-450-g-punnet/', 'unit': 'g', 'usp': '', 'availability': {'avail_status': '010', 'label': 'We are currently not delivering this', 'display_mrp': True, 'display_sp': False, 'not_for_sale': False, 'button': 'Notify Me', 'show_express': False}, 'pricing': {'discount': {'mrp': '100', 'mrp_per_pack': None, 'd_text': None, 'd_avail': 'false', 'prim_price': {'sp': '100', 'sp_per_pack': None, 'icon': {'base_url': None, 'image': None, 'format': None}, 'desc': '', 'base_price': '0.22', 'base_unit': 'g'}, 'sec_price': {'sp': None, 'icon': None, 'desc': None, 'background': None}, 'subscription_price': '100', 'camp_detail': {'c': [], 'c_f': 0, 'd_t': '', 'd_v': 0, 'dual_pricing': False, 'm_f': 0, 'narq': 9999999, 'r_c': [], 'v_f': 0}, 'offer_entry_text': '', 'offer_available': 'false'}, 'promo': None, 'subscribe': {'desc': None, 'desc_label': None, 'subs_c': [], 'subs_sp': None}, 'offer': {'arrow_image': None, 'background': {'direction': None, 'gradient': None}, 'background_border': {'direction': None, 'gradient': None}, 'campaign_type': None, 'campaign_type_icon': None, 'campaign_type_slug': '', 'offer_available': 'false', 'offer_ent_txt': '', 'offer_entry_text': '', 'text_color': None}}, 'images': [{'s': 'https://www.bigbasket.com/media/uploads/p/s/40300587_1-fresho-premium-mango-langra.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40300587_1-fresho-premium-mango-langra.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40300587_1-fresho-premium-mango-langra.jpg'}], 'variable_weight': {'msg': 'Please note that the item(s) in this product may vary slightly in size and weight. Hence, the actual weight of the product delivered can have a small variance. You will be billed based on the actual weight during order processing.', 'link': '/variableweight/?source=app'}, 'brand': {'name': 'fresho! Premium', 'slug': 'fresho-premium', 'url': '/pb/fresho-premium/'}, 'category': {'tlc_name': 'Fruits & Vegetables', 'tlc_slug': 'fruits-vegetables', 'mlc_name': 'Fresh Fruits', 'mlc_slug': 'fresh-fruits', 'mlc_id': 1344, 'llc_name': 'Mangoes', 'llc_slug': 'type=pc&slug=mangoes', 'llc_id': 525}, 'additional_attr': {'info': []}, 'combo': None, 'rating_info': {'avg_rating': None, 'rating_count': None, 'review_count': None, 'sku_id': 30001057}, 'visibility': {'path_id': 1829, 'fc_id': 704, 'sa_id': 10654}, 'additional_info': {}, 'ctas': {'data': []}, 'ean_code': '40300587', 'parent_info': {'id': 540815, 'parent_product_id': None, 'child_product_id': None, 'order': 0, 'parent_id': 30001057, 'child_id': 40300587, 'is_default': 0, 'type': 1, 'created_by_id': 517, 'updated_by_id': 517, 'created_on': '2023-05-25 13:01:31', 'updated_on': '2023-05-25 13:01:31'}, 'high_affinity': [], 'is_tobacco': False}]","[{'s': 'https://www.bigbasket.com/media/uploads/p/s/30001057_5-fresho-langra-mango.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/30001057_5-fresho-langra-mango.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/30001057_5-fresho-langra-mango.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/30001057-2_1-fresho-langra-mango.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/30001057-2_1-fresho-langra-mango.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/30001057-2_1-fresho-langra-mango.jpg'}]"
10000343,"""10000343""",(Mango - Neelam)fresho![1x1]{kg}<201.37>,fresho!,1000,g,1,1,kg,201.37,Fruits & Vegetables,Fresh Fruits,Mangoes,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/10000343_6-fresho-mango-neelam.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000343_6-fresho-mango-neelam.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000343_6-fresho-mango-neelam.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/10000343-2_1-fresho-mango-neelam.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000343-2_1-fresho-mango-neelam.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000343-2_1-fresho-mango-neelam.jpg'}]"
10000590,"""10000590000""",(Totapuri Mango)fresho![1x1]{kg}<104.11>,fresho!,1000,g,1,1,kg,104.11,Fruits & Vegetables,Fresh Fruits,Mangoes,"[{'id': '10000589', 'desc': 'Totapuri Mango', 'sku_max_quantity': 0, 'pack_desc': '', 'sort_index_pos': 0, 'cart_count': 0, 'is_best_value': True, 'magnitude': '500', 'w': '500 g', 'absolute_url': '/pd/10000589/fresho-totapuri-mango-500-gm/', 'unit': 'g', 'usp': '', 'availability': {'avail_status': '001', 'display_mrp': True, 'display_sp': True, 'not_for_sale': False, 'button': 'Add', 'show_express': False}, 'pricing': {'discount': {'mrp': '36.99', 'mrp_per_pack': None, 'd_text': '27% OFF', 'd_avail': 'true', 'prim_price': {'sp': '27', 'sp_per_pack': None, 'icon': {'base_url': None, 'image': None, 'format': None}, 'desc': '', 'base_price': '0.05', 'base_unit': 'g'}, 'sec_price': {'sp': None, 'icon': None, 'desc': None, 'background': None}, 'subscription_price': '27', 'camp_detail': {'c': [1513707], 'c_f': 9.99, 'd_t': 'percent', 'd_v': 27.01, 'dual_pricing': False, 'm_f': 0, 'narq': 9999999, 'r_c': [1513707], 'v_f': 0}, 'offer_entry_text': '', 'offer_available': 'false'}, 'promo': None, 'subscribe': {'desc': None, 'desc_label': None, 'subs_c': [], 'subs_sp': None}, 'offer': {'arrow_image': None, 'background': {'direction': None, 'gradient': None}, 'background_border': {'direction': None, 'gradient': None}, 'campaign_type': None, 'campaign_type_icon': None, 'campaign_type_slug': '', 'offer_available': 'false', 'offer_ent_txt': '', 'offer_entry_text': '', 'text_color': None}}, 'images': [{'s': 'https://www.bigbasket.com/media/uploads/p/s/10000589_6-fresho-totapuri-mango.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000589_6-fresho-totapuri-mango.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000589_6-fresho-totapuri-mango.jpg'}], 'variable_weight': {'msg': 'Please note that the item(s) in this product may vary slightly in size and weight. Hence, the actual weight of the product delivered can have a small variance. You will be billed based on the actual weight during order processing.', 'link': '/variableweight/?source=app'}, 'brand': {'name': 'fresho!', 'slug': 'fresho', 'url': '/pb/fresho/'}, 'category': {'tlc_name': 'Fruits & Vegetables', 'tlc_slug': 'fruits-vegetables', 'mlc_name': 'Fresh Fruits', 'mlc_slug': 'fresh-fruits', 'mlc_id': 1344, 'llc_name': 'Mangoes', 'llc_slug': 'type=pc&slug=mangoes', 'llc_id': 525}, 'additional_attr': {'info': []}, 'combo': None, 'rating_info': {'avg_rating': None, 'rating_count': None, 'review_count': None, 'sku_id': 10000590}, 'visibility': {'path_id': 1829, 'fc_id': 704, 'sa_id': 10654}, 'additional_info': {'ppu': {'url': '', 'label': 'Per unit Price', 'type': 'ppu'}}, 'ctas': {'data': []}, 'ean_code': '10000589', 'parent_info': {'id': 555950, 'parent_product_id': None, 'child_product_id': None, 'order': 0, 'parent_id': 10000590, 'child_id': 10000589, 'is_default': 0, 'type': 1, 'created_by_id': 14708, 'updated_by_id': 14708, 'created_on': '2024-02-29 12:32:43', 'updated_on': '2024-02-29 12:32:43'}, 'high_affinity': [], 'is_tobacco': False}]","[{'s': 'https://www.bigbasket.com/media/uploads/p/s/10000590_11-fresho-totapuri-mango.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000590_11-fresho-totapuri-mango.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000590_11-fresho-totapuri-mango.jpg'}]"
40304494,"""40304494""",(Kesar Mango)fresho! Premium[1x6]{pcs}<750.68>,fresho! Premium,6,pc,1,6,pcs,750.68,Fruits & Vegetables,Fresh Fruits,Mangoes,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40304494_1-fresho-premium-kesar-mango.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40304494_1-fresho-premium-kesar-mango.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40304494_1-fresho-premium-kesar-mango.jpg'}]"
10000300,"""10000300""",(Raspuri/Gola Mango)fresho![1x1]{kg}<202.74>,fresho!,1000,g,1,1,kg,202.74,Fruits & Vegetables,Fresh Fruits,Mangoes,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/10000300_3-fresho-raspurigola-mango.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000300_3-fresho-raspurigola-mango.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000300_3-fresho-raspurigola-mango.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/10000300-2_1-fresho-raspurigola-mango.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000300-2_1-fresho-raspurigola-mango.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000300-2_1-fresho-raspurigola-mango.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/10000300-3_1-fresho-raspurigola-mango.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000300-3_1-fresho-raspurigola-mango.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000300-3_1-fresho-raspurigola-mango.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/10000300-4_1-fresho-raspurigola-mango.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/10000300-4_1-fresho-raspurigola-mango.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/10000300-4_1-fresho-raspurigola-mango.jpg'}]"
40022251,"""94021808000001""",(Mango Sindura - Organically Grown)fresho![1x1]{kg}<139.73>,fresho!,1000,g,1,1,kg,139.73,Fruits & Vegetables,Fresh Fruits,Mangoes,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40022251_1-fresho-mango-sindura-organically-grown.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40022251_1-fresho-mango-sindura-organically-grown.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40022251_1-fresho-mango-sindura-organically-grown.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40022251-2_1-fresho-mango-sindura-organically-grown.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40022251-2_1-fresho-mango-sindura-organically-grown.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40022251-2_1-fresho-mango-sindura-organically-grown.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40022251-3_1-fresho-mango-sindura-organically-grown.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40022251-3_1-fresho-mango-sindura-organically-grown.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40022251-3_1-fresho-mango-sindura-organically-grown.jpg'}]"
40323998,"""40323998""","(Mango - Alphonso, Ratnagiri, Family Pack)fresho![1x5]{kg}<1606.85>",fresho!,5000,g,1,5,kg,1606.85,Fruits & Vegetables,Fresh Fruits,Mangoes,NAN,"[{'s': 'https://www.bigbasket.com/media/uploads/p/s/40323998_1-fresho-mango-alphonso-ratnagiri-family-pack.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40323998_1-fresho-mango-alphonso-ratnagiri-family-pack.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40323998_1-fresho-mango-alphonso-ratnagiri-family-pack.jpg'}, {'s': 'https://www.bigbasket.com/media/uploads/p/s/40323998-2_1-fresho-mango-alphonso-ratnagiri-family-pack.jpg', 'm': 'https://www.bigbasket.com/media/uploads/p/m/40323998-2_1-fresho-mango-alphonso-ratnagiri-family-pack.jpg', 'l': 'https://www.bigbasket.com/media/uploads/p/l/40323998-2_1-fresho-mango-alphonso-ratnagiri-family-pack.jpg'}]"
